customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0002-ORFBO,2021-03-15,Refferal,2025-03-15,Standard,Annual,,,13.99,627,12,0,keshav,India,Maharashtra,Male,1982-04-12,,,,
0003-MKNFE,2020-08-01,Paid,2024-08-01,Premium,Annual,2024-09-10,Switched to competitor,12.99,1150,91,1,raghav,India,Karnataka,Male,1995-11-23,2024-08-28,Y,10.0,2.0
0004-TLHLJ,2022-11-20,Organic,2025-11-20,Basic,Monthly,,,6.99,210,34,0,lalita,India,Delhi,Female,1978-02-15,,,,
0011-IGKFF,2019-05-10,Paid,2025-05-10,Premium,Annual,,,22.99,1725,8,0,mohan,India,Nagaland,Male,2001-08-30,,,,
0013-EXCHZ,2023-01-05,Refferal,2024-01-05,Standard,Monthly,2024-02-28,Too expensive,13.99,195,88,1,mira,India,Delhi,Female,1990-05-05,2024-01-20,Y,20.0,1.0
0013-MHZWF,2022-06-18,Paid,2025-06-18,Standard,Annual,,,17.99,720,22,0,durga,India,Delhi,Female,1988-12-10,2025-03-18,N,90.0,1.0
0013-SMEOE,2021-09-30,Refferal,2024-09-30,Basic,Monthly,2024-11-15,Not enough content,8.99,230,79,1,mina,India,Meghalaya,Female,1976-09-21,2024-11-01,N,30.0,1.0
0014-BMAQU,2020-02-14,Organic,2025-02-14,Premium,Annual,,,22.99,1840,5,0,madan,India,Rajasthan,Male,1999-03-14,,,,
0015-UOCOJ,2023-07-22,Organic,2024-07-22,Standard,Monthly,,,13.99,240,34,0,maya,India,Kathmandu,Female,1985-07-07,,,,
0016-QLJIS,2022-04-03,Organic,2025-04-03,Basic,Annual,,,6.99,335,41,0,arjun,Nepal,Kathmandu,Male,1993-10-29,,,,
0017-DINOC,2021-12-01,Organic,2025-12-01,Premium,Annual,,,22.99,1610,14,0,shiva,India,Maharashtra,Male,1997-01-22,,,,
0017-IUDMW,2023-03-17,Refferal,2024-03-17,Standard,Monthly,2024-05-01,Poor streaming quality,7.99,270,83,1,rangadevi,India,Karnataka,Female,1981-06-18,2024-04-10,Y,25.0,1.0
0018-NYROU,2020-10-09,Organic,2025-10-09,Standard,Annual,,,13.99,980,19,0,chitra,India,Telangana,Female,2004-12-01,,,,
0019-EFAEP,2022-08-25,Refferal,2024-08-25,Basic,Monthly,2024-10-31,Switched to competitor,12.99,160,76,1,raju,India,Meghalaya,Female,1992-04-25,2024-09-27,Y,30.0,1.0
0019-GFNTW,2019-11-11,Paid,2025-11-11,Premium,Annual,,,92.99,2185,3,0,Madhav,India,Uttar Pradesh,Male,1979-11-11,,,,
0020-INWCK,2023-05-06,Organic,2025-05-06,Standard,Monthly,,,13.99,640,58,0,parvati,India,Delhi,Female,1986-02-28,,,,
0020-JDNXP,2022-01-19,Organic,2024-01-19,Premium,Annual,,,20.99,550,62,0,rikim,India,Meghalaya,Female,1994-08-19,,,,
0021-IKXGC,2021-07-07,Paid,2025-07-07,Standard,Annual,,,13.99,840,27,0,vishakha,India,Rajasthan,Female,2000-09-02,,,,
0022-TCJCI,2023-09-14,Refferal,2024-09-14,Basic,Monthly,2024-09-14,Forgot to cancel trial,16.99,42,99,1,raghvendra,India,Telangana,Male,1983-12-30,2024-09-14,N,90.0,2.0
0023-HGHWL,2020-06-23,Organic,2025-06-23,Premium,Annual,,,22.99,1955,7,0,rishabh,India,Uttar Pradesh,Male,1991-05-14,,,,
0023-UYUPN,2022-12-31,Paid,2025-12-31,Standard,Monthly,,,13.99,790,47,0,sudevi,India,Maharashtra,Female,1977-10-06,,,,
0081-CTGDCT,2020-04-21,Organic,2020-05-21,Premium,Monthly,,,92.99,8648,35,0,asha,India,Tamil Nadu,Female,1966-06-05,,,,
0057-PVAUSI,2021-01-05,Paid,2022-01-05,Premium,Annual,,,92.99,6323,35,0,arjun,India,West Bengal,Male,1969-08-02,2021-04-05,N,90.0,1.0
0073-EBRUZW,2020-12-28,Refferal,2021-12-28,Premium,Annual,,,92.99,8555,5,0,mina,India,Meghalaya,Female,1993-07-08,,,,
0021-NGMHYR,2021-04-01,Paid,2021-05-01,Basic,Monthly,,,8.99,1096,21,0,madhav,India,Punjab,Male,1975-04-11,2022-05-21,N,28.0,1.0
0017-GOGPXK,2019-11-10,Organic,2020-11-10,Basic,Annual,,,7.99,463,39,0,madhav,India,Uttar Pradesh,Female,1969-01-29,,,,
0067-GOYRCX,2019-11-20,Paid,2020-11-20,Basic,Annual,,,6.99,517,7,0,meena,India,West Bengal,Female,1980-04-05,,,,
0038-VNFJEY,2021-01-13,Paid,2021-02-12,Basic,Monthly,2022-10-15,Switched to competitor,6.99,719,92,1,sanjay,India,Tamil Nadu,Male,1986-12-02,,,,
0097-NDRYEN,2021-03-28,Organic,2022-03-28,Premium,Annual,,,92.99,6230,8,0,seema,India,Nagaland,Male,1998-11-18,2022-03-19,Y,85.0,1.0
0029-PASBBA,2019-09-28,Organic,2020-09-28,Premium,Annual,2021-03-25,Poor streaming quality,20.99,461,86,1,anil,India,Uttar Pradesh,Female,1977-06-29,,,,
0045-LMSRZC,2021-07-07,Refferal,2021-08-06,Standard,Monthly,2022-05-18,Switched to competitor,16.99,1919,98,1,ramesh,India,West Bengal,Male,1976-02-26,,,,
0012-BZVZYW,2021-02-15,Refferal,2022-02-15,Standard,Annual,,,16.99,781,28,0,shiva,India,Telangana,Female,1974-08-04,,,,
0093-ZOSEHZ,2021-09-03,Organic,2021-10-03,Premium,Monthly,2023-04-06,Switched to competitor,20.99,377,94,1,vikram,Nepal,Maharashtra,Female,1979-01-26,2022-10-31,Y,82.0,1.0
0074-PQKPNY,2020-09-06,Paid,2020-10-06,Standard,Monthly,2022-08-03,Forgot to cancel trial,13.99,265,93,1,raju,India,Nagaland,Male,1982-10-03,2021-01-29,N,18.0,1.0
0047-HLOHZU,2020-06-25,Refferal,2020-07-25,Basic,Monthly,2022-05-05,Too expensive,8.99,476,88,1,sanjay,India,Kerala,Male,1978-06-07,,,,
0033-NGXBQV,2021-06-23,Organic,2022-06-23,Premium,Annual,,,20.99,398,10,0,lalita,India,Rajasthan,Female,1993-07-31,,,,
0047-PDDIXU,2022-02-20,Paid,2022-03-22,Premium,Monthly,,,20.99,2518,11,0,lalita,India,Nagaland,Female,1976-03-12,,,,
0022-WATIYU,2019-03-21,Paid,2019-04-20,Basic,Monthly,,,7.99,431,20,0,ashok,India,Meghalaya,Female,2000-04-27,,,,
0029-FRKHBU,2019-02-26,Refferal,2019-03-28,Standard,Monthly,,,16.99,237,7,0,sunita,Nepal,Kathmandu,Female,2002-11-05,,,,
0044-SIPNKO,2022-11-07,Organic,2022-12-07,Premium,Monthly,,,20.99,1994,22,0,rikim,India,Gujarat,Female,1965-01-28,,,,
0084-WSHIKK,2019-12-23,Organic,2020-12-23,Premium,Annual,,,20.99,1007,19,0,raghvendra,Nepal,Delhi,Female,1983-11-11,2020-11-26,N,66.0,2.0
0036-NQIVTR,2023-10-07,Refferal,2024-10-07,Standard,Annual,,,17.99,611,25,0,madhav,India,Delhi,Male,1967-01-28,,,,
0031-DRXWXU,2020-05-25,Refferal,2020-06-24,Standard,Monthly,,,17.99,1385,36,0,madhav,India,West Bengal,Female,1988-03-27,,,,
0096-XPSNVO,2020-07-21,Organic,2020-08-20,Standard,Monthly,2020-12-07,Not enough content,13.99,615,90,1,shiva,India,Telangana,Male,1998-09-22,2021-08-27,Y,37.0,2.0
0053-KOKFKX,2020-12-21,Paid,2021-12-21,Standard,Annual,,,17.99,1421,39,0,vikram,India,Punjab,Male,1982-01-24,,,,
0062-FLAIRK,2022-03-01,Organic,2022-03-31,Basic,Monthly,,,6.99,838,30,0,shiva,India,Delhi,Male,1988-12-17,2023-04-03,N,37.0,1.0
0041-IWHYKV,2019-05-21,Organic,2019-06-20,Basic,Monthly,,,6.99,817,2,0,nisha,India,Gujarat,Male,1967-05-04,,,,
0030-DROFST,2019-12-02,Paid,2020-01-01,Basic,Monthly,,,8.99,863,25,0,shiva,India,Tamil Nadu,Female,1997-03-23,2020-07-02,Y,85.0,2.0
0072-UJLJNI,2021-06-10,Refferal,2022-06-10,Premium,Annual,,,92.99,10135,31,0,geeta,India,Karnataka,Female,1981-04-01,,,,
0093-PIGYHL,2021-10-09,Paid,2022-10-09,Basic,Annual,2022-08-29,Not enough content,7.99,974,94,1,meena,India,Tamil Nadu,Male,1994-12-22,,,,
0035-ONEGKO,2019-07-10,Paid,2020-07-10,Basic,Annual,,,7.99,751,38,0,parvati,India,Kerala,Female,1987-01-07,2021-01-13,N,64.0,2.0
0039-GDFDNT,2023-04-06,Organic,2024-04-06,Premium,Annual,,,20.99,986,15,0,rangadevi,India,Nagaland,Female,1986-09-21,2023-04-30,Y,45.0,1.0
0006-OSDWMW,2019-04-16,Paid,2019-05-16,Standard,Monthly,,,16.99,1223,5,0,usha,India,Telangana,Female,1984-10-04,,,,
0087-BDOHZD,2021-12-06,Paid,2022-12-06,Standard,Annual,2023-09-29,Poor streaming quality,16.99,1393,94,1,meena,India,Tamil Nadu,Male,2000-06-21,2022-09-12,Y,30.0,2.0
0022-OEKRMA,2023-06-09,Organic,2023-07-09,Premium,Monthly,,,92.99,3533,10,0,raghvendra,India,Gujarat,Female,1968-03-12,,,,
0018-BEHTOH,2022-01-10,Paid,2022-02-09,Standard,Monthly,,,16.99,1766,21,0,madan,India,Gujarat,Male,1996-05-22,,,,
0003-CZVOYZ,2022-08-27,Paid,2022-09-26,Standard,Monthly,,,16.99,1546,32,0,rakesh,India,Tamil Nadu,Male,1999-03-26,,,,
0060-JIRWIS,2020-05-31,Paid,2021-05-28,Basic,Annual,,,6.99,657,35,0,raghvendra,India,Punjab,Male,1966-08-25,,,,
0006-EJTQTF,2022-07-14,Organic,2022-08-13,Basic,Monthly,,,6.99,559,27,0,manoj,India,Meghalaya,Female,2004-07-06,2023-11-08,Y,92.0,1.0
0063-YHSKMM,2023-12-06,Refferal,2024-12-06,Basic,Annual,,,7.99,423,33,0,suresh,Nepal,Delhi,Female,1973-07-20,2024-09-30,N,85.0,1.0
0019-LMITJY,2023-03-06,Paid,2024-03-06,Premium,Annual,,,92.99,10321,10,0,chitra,India,Tamil Nadu,Female,1975-06-24,,,,
0004-DZICVC,2023-05-20,Paid,2024-05-20,Standard,Annual,,,16.99,2021,35,0,suresh,India,Gujarat,Female,1983-05-24,2024-10-10,Y,89.0,1.0
0030-QXZTLC,2020-10-26,Refferal,2021-10-26,Standard,Annual,,,13.99,573,34,0,priya,India,Telangana,Female,1996-02-18,,,,
0087-UECWQG,2022-09-27,Refferal,2023-09-27,Standard,Annual,,,13.99,265,29,0,vikram,India,Nagaland,Female,1993-08-13,,,,
0075-HZRLHZ,2022-12-03,Paid,2023-12-03,Basic,Annual,2024-09-02,Switched to competitor,8.99,943,92,1,nisha,India,Nagaland,Female,1990-08-28,,,,
0036-UFUFEG,2021-06-21,Refferal,2022-06-21,Premium,Annual,,,20.99,2644,19,0,meena,India,Kerala,Male,2005-07-11,2021-12-27,Y,26.0,1.0
0046-NXVGVM,2020-04-07,Organic,2021-04-07,Premium,Annual,,,92.99,5207,6,0,raghvendra,India,West Bengal,Male,1986-01-04,,,,
0001-GDJTGJ,2023-12-16,Organic,2024-01-15,Standard,Monthly,,,17.99,2068,30,0,priya,India,Karnataka,Female,1975-06-28,,,,
0038-QDBAZD,2023-03-02,Organic,2024-03-02,Premium,Annual,,,92.99,2696,27,0,parvati,Nepal,Delhi,Female,1985-05-08,,,,
0062-QYHRFL,2021-01-04,Refferal,2022-01-04,Standard,Annual,2021-07-08,Poor streaming quality,13.99,1315,88,1,parvati,India,Karnataka,Female,1981-06-24,,,,
0076-ZBIZUF,2019-10-30,Organic,2020-10-28,Basic,Annual,,,6.99,181,35,0,meena,Nepal,Nagaland,Male,1974-09-09,2020-02-29,Y,26.0,1.0
